Town,County,Pop,Land,Water,Latitude,Longitude,GEO ID,ANSI code
Barre,Orleans,2025,55.04,0.011,43.179026,-78.211392,3607304572,978710
Barrington,Yates,1681,35.753,1.378,42.523012,-77.052976,3612304594,978711
Barton,Tioga,8858,59.275,0.414,42.079846,-76.499364,3610704671,978712
Batavia,Genesee,6809,48.187,0.218,42.996988,-78.227989,3603704726,978714
Bath,Steuben,12379,95.319,0.559,42.322420,-77.316574,3610104770,978715
Bedford,Westchester,17335,37.173,2.247,41.225704,-73.664943,3611905320,978717
Beekman,Dutchess,14621,29.838,0.517,41.602869,-73.698370,3602705452,978718
Beekmantown,Clinton,5545,60.425,9.202,44.788193,-73.502927,3601905485,978719
Belfast,Allegany,1663,36.295,0.249,42.298023,-78.135597,3600305573,978720
Bellmont,Franklin,1434,164.141,3.019,44.760907,-74.131480,3603305716,978721
Bennington,Wyoming,3359,55.049,0.215,42.817297,-78.387564,3612105936,978722
Benson,Hamilton,192,82.617,0.58,43.290245,-74.366257,3604105958,978723
Benton,Yates,2836,41.473,2.964,42.721950,-77.049662,3612306002,978724
Bergen,Genesee,3120,27.559,0.036,43.096201,-77.955484,3603706057,978725
Berkshire,Tioga,1412,30.216,0.01,42.296636,-76.165659,3610706145,978726
Berlin,Rensselaer,1880,59.603,0.319,42.660802,-73.380018,3608306189,978727
Berne,Albany,2794,64.03,0.704,42.603917,-74.130358,3600106211,978728
Bethany,Genesee,1765,36.035,0.035,42.919587,-78.126802,3603706266,978729
Bethel,Sullivan,4255,85.265,4.693,41.689061,-74.853955,3610506310,978730
Bethlehem,Albany,33656,49.03,0.834,42.585940,-73.827782,3600106354,978731
Big Flats,Chemung,7731,44.484,0.581,42.138490,-76.913756,3601506475,978732
Binghamton,Broome,4942,25.251,0.088,42.035053,-75.905551,3600706618,978734
Birdsall,Allegany,221,35.889,0.171,42.397379,-77.889195,3600306717,978735
Black Brook,Clinton,1497,129.974,4.361,44.524426,-73.817513,3601906761,978736
Bleecker,Fulton,533,57.127,2.285,43.173404,-74.381782,3603506882,978737
Blenheim,Schoharie,377,33.933,0.461,42.488372,-74.522581,3609506893,978738
Blooming Grove,Orange,18028,34.736,0.616,41.395660,-74.184287,3607107003,978739
Bolivar,Allegany,2189,35.863,0.01,42.034778,-78.136902,3600307201,978740
Bolton,Warren,2326,63.27,26.771,43.579414,-73.657631,3611307234,978741
Bombay,Franklin,1357,35.743,0.125,44.914578,-74.586536,3603307278,978742
Boonville,Oneida,4555,71.878,0.698,43.459155,-75.285070,3606507366,978743
Boston,Erie,8023,35.82,0,42.652830,-78.755463,3602907454,978744
Bovina,Delaware,633,44.263,0.232,42.273814,-74.756993,3602507597,978745
Boylston,Oswego,549,39.152,0.021,43.657921,-75.953469,3607507674,978746
Bradford,Steuben,855,25.122,0.114,42.330742,-77.133893,3610107740,978747
Brandon,Franklin,577,41.255,0.067,44.735417,-74.414747,3603307839,978748
Brant,Erie,2065,24.314,0.424,42.594817,-79.024700,3602907894,978749
Brasher,St. Lawrence,2512,91.103,0.967,44.888187,-74.723707,3608907938,978750
Bridgewater,Oneida,1522,23.845,0.012,42.904171,-75.265132,3606508180,978751
Brighton,Franklin,1435,77.896,5.1,44.469848,-74.247779,3603308213,978752
Brighton,Monroe,36609,15.416,0.168,43.118015,-77.582070,3605508246,978753
Bristol,Ontario,2315,36.694,0.015,42.808110,-77.425596,3606908378,978754
Broadalbin,Fulton,5260,31.722,8.059,43.076333,-74.152367,3603508433,978755
Brookfield,Madison,2545,77.822,0.196,42.807991,-75.343295,3605308587,978757
Brookhaven,Suffolk,486040,259.439,272.097,40.857448,-72.959840,3610310000,978758
Broome,Schoharie,973,47.741,0.25,42.504012,-74.293643,3609510154,978760
Brownville,Jefferson,6263,59.132,7.32,44.026880,-76.083381,3604510242,978761
Brunswick,Rensselaer,11941,44.347,0.28,42.749998,-73.582839,3608310275,978762
Brutus,Cayuga,4464,22.106,0.394,43.045665,-76.545611,3601110297,978763
Burke,Franklin,1465,44.405,0,44.926169,-74.182069,3603311165,978765
Burlington,Otsego,1140,44.891,0.122,42.717320,-75.144624,3607711209,978766
Burns,Allegany,1180,27.22,0.036,42.435979,-77.781834,3600311253,978767
Busti,Chautauqua,7351,47.825,0.014,42.051324,-79.326276,3601311451,978768
Butler,Wayne,2064,37.09,0.079,43.177119,-76.765002,3611711473,978769
Butternuts,Otsego,1786,53.829,0.04,42.469617,-75.320901,3607711528,978770
Byron,Genesee,2369,32.212,0.079,43.084761,-78.066965,3603711572,978771
Cairo,Greene,6670,59.828,0.254,42.298811,-74.015664,3603911649,978772
Caledonia,Livingston,4255,43.875,0.251,42.952791,-77.820303,3605111715,978773
Callicoon,Sullivan,3057,48.591,0.355,41.835839,-74.924132,3610511759,978774
Cambria,Niagara,5839,39.71,0,43.176589,-78.820251,3606311803,978775
Cambridge,Washington,2021,36.357,0.127,43.007825,-73.446055,3611511836,978776
Camden,Oneida,4934,54.013,0.141,43.345094,-75.774347,3606511858,978777
Cameron,Steuben,945,46.704,0.058,42.226656,-77.421703,3610111880,978778
Camillus,Onondaga,24167,34.424,0.017,43.066596,-76.313465,3606711913,978779
Campbell,Steuben,3406,40.685,0.094,42.230042,-77.166427,3610111946,978780
Canaan,Columbia,1710,36.676,0.28,42.407900,-73.461763,3602112056,978781
Canadice,Ontario,1664,29.851,2.585,42.718531,-77.558586,3606912100,978782
Canajoharie,Montgomery,3730,42.632,0.501,42.865366,-74.614882,3605712122,978783
Canandaigua,Ontario,10020,56.796,5.735,42.861633,-77.314188,3606912155,978785
Candor,Tioga,5305,94.51,0.11,42.230947,-76.332452,3610712221,978786
Caneadea,Allegany,2542,35.649,0.693,42.393776,-78.131108,3600312243,978787
Canisteo,Steuben,3391,54.351,0.009,42.237887,-77.535418,3610112265,978788
Canton,St. Lawrence,10995,104.765,1.098,44.574414,-75.210848,3608912342,978789
Cape Vincent,Jefferson,2777,56.353,33.499,44.114766,-76.290981,3604512364,978790
Carlisle,Schoharie,1948,34.124,0.128,42.740232,-74.436545,3609512452,978791
Carlton,Orleans,2994,43.607,0.801,43.339906,-78.208493,3607312496,978792
Carmel,Putnam,34305,35.907,4.786,41.387098,-73.722738,3607912529,978793
Caroga,Fulton,1205,50.627,3.651,43.124008,-74.525070,3603512573,978794
Caroline,Tompkins,3282,54.763,0.13,42.357575,-76.334979,3610912606,978795
Carroll,Chautauqua,3524,33.32,0.023,42.039848,-79.098719,3601312639,978796
Carrollton,Cattaraugus,1297,42.299,0.041,42.056363,-78.637943,3600912661,978797
Castile,Wyoming,2906,36.98,1.415,42.664387,-78.021835,3612112782,978798
Catharine,Schuyler,1762,32.295,0.605,42.337939,-76.733699,3609712914,978799
Catlin,Chemung,2618,37.989,0.027,42.231245,-76.895550,3601512947,978800
Cato,Cayuga,2537,33.643,2.544,43.120219,-76.536757,3601112969,978801
Caton,Steuben,2179,37.565,0.434,42.035747,-77.023787,3610112991,978802
